node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
3,2,2,0.22425345548624043,-0.5165722923155123,25772625,-0.5165722923151614,3526625,false,1,DormandPrince54Integrator,RANDOM
9,5,9,4.79790748963109,-21.281155789418257,11213833,-21.281154132314768,7633750,false,1,DormandPrince54Integrator,RANDOM
15,8,9,2.078262785401544,-19.318057656292165,3874625,-19.318057351463214,4410917,false,1,DormandPrince54Integrator,RANDOM
57,29,10,3.238293840727703,-139.4844344615717,5173041,-139.48439266128284,10235083,false,1,DormandPrince54Integrator,RANDOM
3,2,2,0.760451146803401,0.3074538269072721,356125,0.30745379784355376,181542,false,1,DormandPrince54Integrator,RANDOM
3,2,5,2.3106108839655413,-9.345235652086586,728042,-9.345235612928143,275292,false,1,DormandPrince54Integrator,RANDOM
19,10,4,4.2107779250223265,-44.96648518172131,800084,-44.96648535268965,863000,false,1,DormandPrince54Integrator,RANDOM
5,3,4,1.5080662551579793,-7.0263066590625245,1726667,-7.026306643983768,783083,false,1,DormandPrince54Integrator,RANDOM
3,2,5,0.3408662738687092,-0.07146808876108701,1289667,-0.07146808879857147,713125,false,1,DormandPrince54Integrator,RANDOM
5,3,2,2.018359408363029,-4.7375252229554095,528583,-4.737525238974272,167542,false,1,DormandPrince54Integrator,RANDOM
3,2,6,1.5354343569764066,-5.685409141353352,1278875,-5.685409166323739,359083,false,1,DormandPrince54Integrator,RANDOM
13,7,4,1.7308508443172945,-14.878200102291835,2229667,-14.878200241879368,561875,false,1,DormandPrince54Integrator,RANDOM
3,2,3,3.1501134880866566,-8.036623693258418,1864833,-8.036623704960107,256833,false,1,DormandPrince54Integrator,RANDOM
13,7,9,2.074737105203317,-27.147281799383272,2201334,-27.147281560872294,2204333,false,1,DormandPrince54Integrator,RANDOM
7,4,8,4.563757181152672,-17.69970395536783,1732458,-17.699705233862307,2282333,false,1,DormandPrince54Integrator,RANDOM
135,68,2,3.6603219475859574,-302.01216905094117,1392458,-302.0121617237535,5346917,false,1,DormandPrince54Integrator,RANDOM
5,3,5,1.8981269732898278,-8.121324270748284,542500,-8.121324293770195,297000,false,1,DormandPrince54Integrator,RANDOM
47,24,7,3.6076823159351363,-123.91627465871514,2218417,-123.91628483698491,3628167,false,1,DormandPrince54Integrator,RANDOM
317,159,10,3.9297614896528663,-1106.0639622976319,5383583,-1106.0639321690073,44849667,false,1,DormandPrince54Integrator,RANDOM
3,2,9,0.36108528736365775,-1.4434307706545404,2508333,-1.4434307706887353,332167,false,1,DormandPrince54Integrator,RANDOM
3,2,7,3.5860791933889513,-10.644071559615561,967208,-10.644071704938021,942541,false,1,DormandPrince54Integrator,RANDOM
