node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType,rel_tolerance
5,3,4,2.909268692741049,-9.868175242523638,40026125,-9.868175131822492,5369333,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
31,16,3,3.801836831531951,-51.64328473535801,3377416,-51.643283544148446,5185500,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,0.7517902375803263,-3.819057019799649,544292,-3.8190570211024295,277958,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
135,68,8,4.638411014163579,-421.63968312318934,7031292,-421.63968314964234,13973792,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,4,0.24688889390146335,0.4221605027148412,499458,0.42216050269214356,521916,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,8,0.9532066891299522,-4.3594438287221795,1898292,-4.3594438329822776,487708,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
83,42,4,4.285979366962346,-200.3758173035023,1453458,-200.3758152453005,5362417,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
21,11,3,4.3961906371009505,-36.702117024368434,860584,-36.7021170651939,559125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,10,1.0985761420091542,-7.888040474981225,1564917,-7.88804048187009,1026500,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,6,2.616163645586843,-10.789238831083562,904083,-10.789238759301846,537041,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,0.7317607159397064,-2.6927212070664224,488916,-2.6927212076558185,174667,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,8,3.462142700954003,-31.882623480236905,1613625,-31.882622446476812,1232625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
83,42,10,4.566720008300031,-259.8103045021211,4677750,-259.8103000685334,13576709,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
41,21,8,4.554233647596369,-120.42237315921189,2759708,-120.42237103152043,4133083,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
197,99,8,3.0075141320591423,-560.4405012150827,3166833,-560.4405051130873,15196416,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,8,2.8112419810844624,-10.205678306140353,1733625,-10.205678498177745,696709,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,6,2.7303989588266315,-21.249586489869742,980417,-21.249586402925765,705000,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
19,10,6,3.342148279586706,-40.79992119752063,1072250,-40.79992168194032,1222125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,0.08686767149610386,-2.2394313770071923,2725625,-2.2394313770070413,825709,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
41,21,10,3.6976385813897314,-103.26537767686449,6743000,-103.26537675064893,5562791,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,4.140199857109682,-5.714005374931819,426791,-5.714005290757493,140625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
45,23,6,3.9393912091725163,-99.11382035865108,1458750,-99.11382062505803,2418875,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
31,16,3,1.5340926083088549,-30.940839412904623,347959,-30.94083951488497,571792,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
21,11,2,3.2636021660298207,-29.69316433381296,306208,-29.69316335446862,488833,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
11,6,9,1.9021132216383063,-19.328893728070778,1983083,-19.328893681908212,1281208,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
49,25,5,3.6705264649826783,-99.37959133323997,1072083,-99.37959006184839,2073834,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
57,29,6,4.7837560703307345,-143.02220460097436,1508125,-143.02220689520803,3643167,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
11,6,6,4.527189211253226,-27.570905187271688,1713459,-27.570905295407737,771167,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,7,0.9846925281384067,-13.158103866162953,830625,-13.15810383528238,567000,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
15,8,10,1.9582065377910904,-29.170662291187163,1974708,-29.170663088425208,1898417,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
83,42,4,4.906182856109071,-198.88545991657048,969083,-198.8854597056146,3766667,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
803,402,6,5.300273529315852,-2897.3783166332837,6301666,-2897.3783110334234,38632458,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,3,2.5022300610612196,-9.776670543572394,417959,-9.776670524513028,176166,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
47,24,6,4.245410747329554,-110.87292053302892,2263125,-110.8729193246177,2595625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
31,16,4,4.1150425683902805,-45.47612438571547,1010625,-45.47612342895342,1072166,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
177,89,6,4.7117892783591255,-579.6140293078951,1957333,-579.6140264400796,10610375,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,4.385379995460959,-10.659010201242433,3510875,-10.659010092442712,1013750,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,0.1109659710591464,-1.4977548018577664,1434292,-1.4977548018576567,590500,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
351,176,2,4.950626765079916,-977.557258921532,1236750,-977.5572369732147,6203291,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
45,23,4,2.7713923838462726,-94.46486444395526,950167,-94.46486510687404,1772375,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,3.867192652552765,-12.336304784036255,3354750,-12.336304818380315,1199875,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,10,2.870474747345637,-14.140535714583125,2704375,-14.140535730726889,1228459,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,8,3.226682678756755,-17.862130823267368,1834083,-17.862130768658112,940042,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
47,24,10,3.606328380991992,-130.81617997546562,3349041,-130.8161836255211,7606750,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
123,62,6,5.46319962446322,-331.66527664937587,2199584,-331.66527427271313,6676292,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,10,3.290000378609272,-16.40313048569012,2845750,-16.40313056739329,1279125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,6,4.898192500529534,-23.289483180200556,1480875,-23.28948333480378,760500,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,0.7453440299248161,-6.851933737338619,1329959,-6.851933738132379,596917,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,3,4.301084991555276,-16.465986731058685,509583,-16.465986679644782,265833,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
21,11,10,2.865946746064375,-52.11954278695626,3278916,-52.11954208267315,3238125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
81,41,8,3.617713477674539,-227.95370246900126,2561125,-227.95370263736643,7192083,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
69,35,4,5.474547170208462,-162.28387302590014,1124583,-162.28387420399457,2271041,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,7,4.61537716368239,-9.46263691673649,1893167,-9.46263689200073,656791,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.9454027324641394,-4.326574949364581,1177750,-4.326574947619191,510459,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
589,295,8,5.437185917440243,-1856.0255907861686,5135042,-1856.0256045095748,36684750,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,0.15658080674658015,-1.1430461775069047,565500,-1.1430461775057474,155583,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,7,1.6048587622525217,-7.928884832804307,728917,-7.928884869486132,353875,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
87,44,10,2.854176213786636,-246.9451864743213,2952041,-246.94518786416756,9702625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,7,2.159807775621026,-7.366011956560168,841542,-7.36601192441918,297667,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,5,2.7867023926131473,-13.668038933278282,550792,-13.668038879061239,238000,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,4,1.5252977522220919,-7.603640717879813,356416,-7.603640741131704,132750,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.6762392032924199,-3.567223077672324,1013333,-3.567223082272823,350083,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,7,2.115764445290097,-20.41389037421588,827250,-20.413890244424465,413458,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
311,156,10,4.22689131936993,-1088.0627164764219,4684208,-1088.0627298209147,30946042,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,0.7865313291387362,-2.8242369599051678,733416,-2.8242369612338996,161125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
127,64,10,4.309766157416158,-389.1413427556039,3089625,-389.14134374344275,13903625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,1.5374281924436313,-4.908306534757887,306458,-4.908306562062085,141542,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,0.3451431167654187,-4.159170915579673,292292,-4.159170915622921,149083,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,10,3.1416426075489112,-22.115020800921236,1030500,-22.115020787973187,1469500,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,8,0.6174462770160685,-4.146081344384652,393750,-4.146081344688667,202291,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,4,2.208699773658276,-5.368643010040218,230833,-5.368642996614138,112625,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,6,2.8330021443028484,-13.294497706072491,483667,-13.29449750357152,430042,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,8,1.7975638778220453,-7.852157118837637,475875,-7.852157094359664,410792,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
23,12,8,3.1222942053352285,-43.635569521130435,950375,-43.635569620784565,1447000,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
143,72,9,3.5157252585884007,-416.74932509283747,1302584,-416.74932405533747,10604083,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
4167,2084,5,5.0468733294004595,-17572.568182873754,9879375,-17572.567993207114,87041750,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,9,4.887372405951477,-14.333731195198531,1023375,-14.33373108239062,627291,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
191,96,9,5.44995582475422,-626.2692513511563,1613292,-626.2692641426308,13337542,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
15,8,4,3.1082230487712246,-25.764920313742227,246958,-25.764919778366068,270375,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
51,26,3,4.554685599800538,-122.95699505183238,524541,-122.95699615206735,616041,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,8,2.477104722672717,-12.983851332396164,1834625,-12.9838517682613,387542,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,0.6141022678645216,-3.1131033683790186,696375,-3.113103368677241,119125,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
25,13,4,2.770295884485198,-49.81054071146654,525208,-49.81054065109455,450000,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,2,4.117791869760355,-22.512222552341978,218000,-22.51222248203111,143333,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
17,9,4,3.93317828756107,-35.26550869786054,772333,-35.26550860166443,391333,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
57,29,9,2.9404624413687532,-143.36939892367326,3026250,-143.369400586871,3563583,false,1,DormandPrince54Integrator,true,4.4668359215096346E-8
