node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
27,14,8,3.188041804462167,-68.00383291528615,37243834,-68.00382221824378,11237042,false,1,DormandPrince54Integrator,RANDOM
271,136,5,4.758530209653368,-817.6869237024553,9138125,-817.6869181286729,21293750,false,1,DormandPrince54Integrator,RANDOM
7,4,10,2.2427235795834033,-16.843286829541757,4141959,-16.843286488744287,1303083,false,1,DormandPrince54Integrator,RANDOM
9,5,5,4.322006182988963,-18.571225888697356,1992375,-18.571222497903037,1072209,false,1,DormandPrince54Integrator,RANDOM
25,13,2,3.530413472887257,-37.15973922234459,526791,-37.15973989102899,591917,false,1,DormandPrince54Integrator,RANDOM
17,9,5,1.740924078777052,-23.869176276156047,1349917,-23.86917627788298,567417,false,1,DormandPrince54Integrator,RANDOM
3,2,5,0.7462075473342134,-1.6937926205461764,600625,-1.6937926261314964,168083,false,1,DormandPrince54Integrator,RANDOM
25,13,3,2.4961465725486036,-44.22185596141304,569458,-44.22185661544211,536667,false,1,DormandPrince54Integrator,RANDOM
7,4,7,3.9680004325325773,-13.239795291953882,1824416,-13.239792572964483,612500,false,1,DormandPrince54Integrator,RANDOM
99,50,7,3.653495866750619,-275.88230755847843,3258416,-275.88231747980535,6306000,false,1,DormandPrince54Integrator,RANDOM
91,46,6,4.99648187804879,-251.74797519425812,2988208,-251.74797355450346,3929084,false,1,DormandPrince54Integrator,RANDOM
39,20,8,4.153465623474043,-93.95618341945615,2328791,-93.95619263185945,3274083,false,1,DormandPrince54Integrator,RANDOM
3,2,9,0.06754882551145036,-1.116316658409743,1034000,-1.1163166584097546,372709,false,1,DormandPrince54Integrator,RANDOM
3,2,9,3.940733164813791,-9.929378615143518,2039833,-9.92937926015154,698667,false,1,DormandPrince54Integrator,RANDOM
7,4,4,1.8106753609969157,-12.264289293164666,447917,-12.26428931024639,257417,false,1,DormandPrince54Integrator,RANDOM
3,2,8,0.44175469183224236,-2.4642503640891937,828917,-2.464250362909695,403125,false,1,DormandPrince54Integrator,RANDOM
3,2,2,1.8868606832957786,-4.288524080490397,364000,-4.2885241382201365,109791,false,1,DormandPrince54Integrator,RANDOM
39,20,9,4.481135375731306,-107.2462201826852,6254917,-107.24620351987144,4358416,false,1,DormandPrince54Integrator,RANDOM
7,4,10,2.1691282492400363,-16.380156999764793,3664250,-16.380156932543155,1151083,false,1,DormandPrince54Integrator,RANDOM
213,107,6,4.527518195003007,-609.3704048641116,2273583,-609.3704262490526,11871750,false,1,DormandPrince54Integrator,RANDOM
17,9,2,4.929630216026731,-36.57640993585299,591958,-36.5764103993149,516250,false,1,DormandPrince54Integrator,RANDOM
9,5,9,2.6712899018781204,-22.332786293033458,1509291,-22.33279359481091,1395291,false,1,DormandPrince54Integrator,RANDOM
69,35,2,3.85692232511931,-137.80106646014457,604167,-137.80106470274666,1241417,false,1,DormandPrince54Integrator,RANDOM
3,2,9,1.664129761655115,-6.163341338968719,1138667,-6.163341318666873,463542,false,1,DormandPrince54Integrator,RANDOM
7,4,6,1.4348227012172594,-11.052873550115976,684042,-11.052873562424562,423042,false,1,DormandPrince54Integrator,RANDOM
3,2,6,0.28185418207027635,-3.3043661654893275,480417,-3.304366165526309,201750,false,1,DormandPrince54Integrator,RANDOM
17,9,7,2.976944035374167,-38.90581590886518,916167,-38.9058174600969,1602542,false,1,DormandPrince54Integrator,RANDOM
7,4,5,4.441058183572002,-16.385216819614925,598417,-16.38521636301999,372958,false,1,DormandPrince54Integrator,RANDOM
3,2,3,2.0218825964978877,-3.3752746019075244,215000,-3.3752745925289003,148625,false,1,DormandPrince54Integrator,RANDOM
7,4,10,3.948727688130042,-21.986712332505682,1979083,-21.986712206920792,1660500,false,1,DormandPrince54Integrator,RANDOM
581,291,2,4.20874113771048,-1520.2049247532348,1359292,-1520.2049165274593,8829750,false,1,DormandPrince54Integrator,RANDOM
3,2,8,3.7516221588576975,-9.010124326588052,1908125,-9.010124297426238,694833,false,1,DormandPrince54Integrator,RANDOM
3,2,2,0.1634632421441945,-1.1573616793016819,139416,-1.157361679301756,77666,false,1,DormandPrince54Integrator,RANDOM
33,17,10,4.895754362072715,-86.33568291428782,3116333,-86.33568567379143,5243708,false,1,DormandPrince54Integrator,RANDOM
41,21,4,4.957043227182222,-93.00836347224775,601917,-93.00836455422326,1287750,false,1,DormandPrince54Integrator,RANDOM
155,78,3,4.085448797936667,-389.38388415776006,634250,-389.3838751893977,3097167,false,1,DormandPrince54Integrator,RANDOM
33,17,5,3.4055429232236794,-70.3184085671442,785166,-70.31840512271299,1531166,false,1,DormandPrince54Integrator,RANDOM
3,2,9,1.1167921161986856,-4.109984660510859,974292,-4.1099846897597985,423500,false,1,DormandPrince54Integrator,RANDOM
25,13,6,3.3065923704754847,-47.14001774082815,849459,-47.140014525511184,1195875,false,1,DormandPrince54Integrator,RANDOM
11,6,8,1.6715052407674675,-16.490489389756338,1087458,-16.49048911241646,1078834,false,1,DormandPrince54Integrator,RANDOM
17,9,9,3.696850089124766,-44.33408202704558,1642750,-44.33407612994344,1982584,false,1,DormandPrince54Integrator,RANDOM
17,9,9,3.132816121181505,-37.33981213732574,1605458,-37.33981055727027,2079416,false,1,DormandPrince54Integrator,RANDOM
