node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
99,50,6,4.870418677390734,-256.6107351725483,40903750,-256.61073268724243,18618333,false,1,DormandPrince54Integrator,RANDOM
7,4,9,2.4099303078004652,-15.774693894639679,2670667,-15.774694400826355,2498584,false,1,DormandPrince54Integrator,RANDOM
11,6,10,2.830224457407197,-16.69616640013189,3631167,-16.696166387762894,3607959,false,1,DormandPrince54Integrator,RANDOM
3,2,5,3.5464628581135997,-6.908943104891611,1505875,-6.908943086787406,530416,false,1,DormandPrince54Integrator,RANDOM
21,11,9,2.878602561219401,-45.75697095983539,4167166,-45.75696462151184,4256334,false,1,DormandPrince54Integrator,RANDOM
13,7,8,3.6459787087687348,-34.26127519068969,7861416,-34.261275779924134,1847375,false,1,DormandPrince54Integrator,RANDOM
3,2,9,0.4325760986844046,-5.785918477063969,1614334,-5.78591847683788,1006792,false,1,DormandPrince54Integrator,RANDOM
3,2,9,0.2929274278824745,-2.712854224991207,1367500,-2.712854225006317,413000,false,1,DormandPrince54Integrator,RANDOM
5,3,7,0.7954941506365609,-10.129504539874377,1022541,-10.12950454074772,384666,false,1,DormandPrince54Integrator,RANDOM
257,129,7,3.829691942151211,-819.9479014154281,6670750,-819.9478956334427,22414500,false,1,DormandPrince54Integrator,RANDOM
7,4,7,1.1602260879928257,-8.19799252326862,870875,-8.197992541920396,680833,false,1,DormandPrince54Integrator,RANDOM
9,5,2,3.182536164536173,-16.046927800178153,412500,-16.046927920433816,222958,false,1,DormandPrince54Integrator,RANDOM
5,3,8,1.4122194367495373,-6.914379546921395,2074125,-6.9143796203227,482750,false,1,DormandPrince54Integrator,RANDOM
5,3,2,0.8818654313308821,-2.845710866793933,841792,-2.8457108747778355,371958,false,1,DormandPrince54Integrator,RANDOM
9,5,9,2.462329082532486,-19.73696503689807,6615625,-19.736965058933514,2538875,false,1,DormandPrince54Integrator,RANDOM
127,64,2,2.534532074979785,-238.51398622418552,1598125,-238.51397527495277,2418666,false,1,DormandPrince54Integrator,RANDOM
71,36,10,3.804787202120263,-207.36188516544763,6186250,-207.36188598552405,10633833,false,1,DormandPrince54Integrator,RANDOM
29,15,7,4.85658334519229,-73.97856901378941,2489791,-73.97857437811498,1948667,false,1,DormandPrince54Integrator,RANDOM
95,48,5,4.954612644388501,-243.38210570899335,1329416,-243.38211065980295,3663208,false,1,DormandPrince54Integrator,RANDOM
69,35,10,4.786467086928941,-183.25559936296645,6203958,-183.25560895302226,11818584,false,1,DormandPrince54Integrator,RANDOM
5,3,2,3.7218177422991316,-9.911895738554742,291709,-9.911895817473665,165750,false,1,DormandPrince54Integrator,RANDOM
111,56,7,4.47093630704236,-327.32714094687867,1834875,-327.3271458225262,9825542,false,1,DormandPrince54Integrator,RANDOM
5,3,5,2.6329031039718482,-9.240737948665508,610916,-9.240737737568656,439916,false,1,DormandPrince54Integrator,RANDOM
3,2,3,1.6815646509776927,-7.155483109068015,327083,-7.155483253805004,128208,false,1,DormandPrince54Integrator,RANDOM
5,3,8,4.600618920336502,-13.883584013358753,1960291,-13.883583933339567,1151458,false,1,DormandPrince54Integrator,RANDOM
9,5,8,4.029028539461972,-25.075284542089104,1560916,-25.07528421695136,1741000,false,1,DormandPrince54Integrator,RANDOM
41,21,10,3.189935896887481,-101.34937157824999,2770917,-101.3493675097306,5445834,false,1,DormandPrince54Integrator,RANDOM
43,22,4,2.280913696244337,-80.59064311515655,540375,-80.59064255117158,1165292,false,1,DormandPrince54Integrator,RANDOM
3,2,5,0.3859510586693182,-1.1553225381307097,454417,-1.1553225381190848,175417,false,1,DormandPrince54Integrator,RANDOM
67,34,9,4.903933975861634,-198.60866221880784,4377458,-198.60871065988394,6810125,false,1,DormandPrince54Integrator,RANDOM
19,10,4,2.2764212582682966,-26.321832933491688,476125,-26.321832201074724,536084,false,1,DormandPrince54Integrator,RANDOM
129,65,8,4.445734908731148,-321.0226210902536,2197750,-321.02262759468044,10928667,false,1,DormandPrince54Integrator,RANDOM
301,151,2,4.70980800794284,-725.796358370915,1001834,-725.7962686454728,5085500,false,1,DormandPrince54Integrator,RANDOM
3,2,4,0.2530338092344314,-2.9720119859709255,240625,-2.9720119859719882,90500,false,1,DormandPrince54Integrator,RANDOM
21,11,10,2.6193755057177315,-42.62480826785138,1291750,-42.62480927001367,2168625,false,1,DormandPrince54Integrator,RANDOM
25,13,8,2.302752113968918,-52.36543301402008,792666,-52.3654299960575,1740875,false,1,DormandPrince54Integrator,RANDOM
7,4,5,4.381616046761029,-16.95796630950809,498625,-16.95796573198362,240791,false,1,DormandPrince54Integrator,RANDOM
13,7,6,3.2885969614719124,-22.421331041967733,563333,-22.421330956224224,450167,false,1,DormandPrince54Integrator,RANDOM
69,35,4,2.4900479240109514,-140.17981636288903,454875,-140.17981483582935,1081000,false,1,DormandPrince54Integrator,RANDOM
5,3,7,2.1683760177543383,-9.556852571451719,508208,-9.556852533551893,250333,false,1,DormandPrince54Integrator,RANDOM
7,4,8,2.7035465360349473,-13.02215344719405,853292,-13.022153439783779,534541,false,1,DormandPrince54Integrator,RANDOM
15,8,10,2.7162689373026874,-37.26175804449031,1554334,-37.26175844914398,1490042,false,1,DormandPrince54Integrator,RANDOM
3,2,3,3.4964130640032245,-6.282450990575656,180042,-6.282451257031301,85000,false,1,DormandPrince54Integrator,RANDOM
3,2,7,1.9368222389518301,-4.496857897803467,469292,-4.496857916404979,188459,false,1,DormandPrince54Integrator,RANDOM
3,2,4,1.3805961892721612,-3.729498322239015,215959,-3.729498355170488,101292,false,1,DormandPrince54Integrator,RANDOM
23,12,7,2.4244901175459472,-48.11723919744068,712209,-48.11723766454728,847083,false,1,DormandPrince54Integrator,RANDOM
7,4,4,1.5654689188812332,-11.551363721859742,216750,-11.551363740877063,141458,false,1,DormandPrince54Integrator,RANDOM
5,3,8,3.7210315514723344,-11.962686623034529,1033750,-11.962686568646598,459625,false,1,DormandPrince54Integrator,RANDOM
7,4,4,1.5071422527412452,-9.396651680748784,217000,-9.39665168542596,183417,false,1,DormandPrince54Integrator,RANDOM
3,2,5,1.8709345137592248,-7.274617365607345,278833,-7.274617453531923,121542,false,1,DormandPrince54Integrator,RANDOM
3,2,3,0.4671105842918888,-3.0440066221356474,146667,-3.0440066221722573,59666,false,1,DormandPrince54Integrator,RANDOM
3,2,6,0.3752375447684997,-4.040041751110712,364458,-4.040041751219226,117333,false,1,DormandPrince54Integrator,RANDOM
3,2,8,1.4601303760768969,-4.962608819567386,596750,-4.962608835710199,274750,false,1,DormandPrince54Integrator,RANDOM
3,2,3,0.030490636595105758,2.5245625554234143,221917,2.5245625554234152,80416,false,1,DormandPrince54Integrator,RANDOM
3,2,9,0.24227681560349656,-0.14363190598280318,665125,-0.14363190598485076,268333,false,1,DormandPrince54Integrator,RANDOM
3,2,10,0.5580352102728592,-4.198599561176568,903916,-4.198599564120782,434500,false,1,DormandPrince54Integrator,RANDOM
3,2,7,0.46822389660523267,-4.144708557487833,463834,-4.144708557976562,178875,false,1,DormandPrince54Integrator,RANDOM
59,30,9,4.999697732067869,-169.67149371214043,2122000,-169.671482917035,4723083,false,1,DormandPrince54Integrator,RANDOM
15,8,2,2.847367145515634,-19.282653644513807,163208,-19.282653566438224,232667,false,1,DormandPrince54Integrator,RANDOM
7,4,9,1.7309218960156687,-11.677554574558112,792500,-11.677554500699951,564792,false,1,DormandPrince54Integrator,RANDOM
11,6,9,4.4195767591307975,-27.6248199191531,1545791,-27.62482146274548,972625,false,1,DormandPrince54Integrator,RANDOM
3,2,2,3.7615145024754106,-7.654691709645739,150084,-7.654691599828415,70125,false,1,DormandPrince54Integrator,RANDOM
3,2,5,1.3796939098174072,-4.84223264896918,280209,-4.84223270283529,104417,false,1,DormandPrince54Integrator,RANDOM
9,5,4,3.0053004459864585,-19.78745751407994,251208,-19.787458121382933,346208,false,1,DormandPrince54Integrator,RANDOM
17,9,5,1.6275918877394702,-26.484466118999354,321791,-26.484466104104893,412375,false,1,DormandPrince54Integrator,RANDOM
207,104,4,4.624002079615264,-565.4108885098992,1057166,-565.4108791098599,3338125,false,1,DormandPrince54Integrator,RANDOM
5,3,9,0.8477644214306701,-8.12737062979033,773958,-8.127370641648897,449583,false,1,DormandPrince54Integrator,RANDOM
7,4,2,3.2693463268126113,-9.852060474191422,189333,-9.852060458745221,100875,false,1,DormandPrince54Integrator,RANDOM
5,3,7,1.5224714979213838,-9.139773239368724,718625,-9.139773267178482,227667,false,1,DormandPrince54Integrator,RANDOM
233,117,5,4.035760386711603,-698.7714949911176,1474292,-698.7714775374877,5479208,false,1,DormandPrince54Integrator,RANDOM
19,10,2,2.7407738860261754,-23.599504799491033,279209,-23.5995054881693,207958,false,1,DormandPrince54Integrator,RANDOM
3,2,3,1.3921365184344596,-4.206505854506345,158875,-4.206505863775398,77334,false,1,DormandPrince54Integrator,RANDOM
3,2,8,4.37167018755784,-10.600784738612889,1116042,-10.600784596121674,381916,false,1,DormandPrince54Integrator,RANDOM
3,2,2,0.493802048588981,0.3005034438062092,115834,0.30050344357198944,56041,false,1,DormandPrince54Integrator,RANDOM
7,4,8,1.5058807107405965,-12.258336596011294,612167,-12.258336875466494,527875,false,1,DormandPrince54Integrator,RANDOM
5,3,6,4.695038842995917,-15.909730662427068,770917,-15.909730549873379,324833,false,1,DormandPrince54Integrator,RANDOM
461,231,8,4.90017174078898,-1568.0490691773396,5687167,-1568.0490786564183,21990959,false,1,DormandPrince54Integrator,RANDOM
17,9,5,3.333330812824541,-42.26064305101539,421666,-42.260643100375255,548708,false,1,DormandPrince54Integrator,RANDOM
3,2,4,1.0043386696517675,-2.868387881515627,193625,-2.8683878833651018,73000,false,1,DormandPrince54Integrator,RANDOM
5,3,2,2.8825092409186306,-7.139839380015809,126583,-7.139839372496178,73208,false,1,DormandPrince54Integrator,RANDOM
3,2,7,1.5345665508756867,-5.525770027964098,430125,-5.525770047955447,190959,false,1,DormandPrince54Integrator,RANDOM
75,38,7,4.914614061485424,-230.3847953418619,1122625,-230.38480070196084,3358958,false,1,DormandPrince54Integrator,RANDOM
51,26,2,4.736368569787446,-93.63660465815298,234292,-93.63660338811391,430916,false,1,DormandPrince54Integrator,RANDOM
3,2,5,4.344196237335905,-10.52480906268801,465667,-10.524809090835301,380458,false,1,DormandPrince54Integrator,RANDOM
5,3,2,4.8540052969167675,-9.849323634176223,152416,-9.849323610441846,85625,false,1,DormandPrince54Integrator,RANDOM
435,218,6,4.009918891561326,-1332.8270761791223,2173709,-1332.827016506325,11757875,false,1,DormandPrince54Integrator,RANDOM
59,30,3,4.308726223094591,-115.02781805401544,355584,-115.02782073245787,648417,false,1,DormandPrince54Integrator,RANDOM
