node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
9,5,9,1.978734503845347,-15.973955468790678,489227500,-15.973955420574924,19288834
7,4,3,3.846242699962424,-10.815730274952728,13257375,-10.815730218384653,555208
3,2,8,2.414712425733811,-8.706804352361145,201816792,-8.706804342318618,6083000
3,2,7,1.2739777469273372,-5.8805023111049834,102229334,-5.880502322785649,1285625
9,5,2,3.0602382319620007,-15.17493895365924,5399875,-15.174939002263294,1505417
5,3,7,2.0224108857513845,-11.10843310401187,140227709,-11.108433139055862,1990833
3,2,5,0.7202681764234581,-4.266348056226982,13347375,-4.266348056289141,605417
5,3,2,1.5353259973238336,-1.6076607313299587,7351584,-1.6076612012275713,667791
5,3,8,0.5298195349524731,-1.1987229001886353,85073417,-1.198722903597682,469375
3,2,9,2.5822036622282085,-8.420220724372873,64692917,-8.420220706040272,532167
33,17,7,2.6860264241699587,-72.88123759675787,182938708,-72.8812367971654,4180834
3,2,8,3.8412530335404513,-11.454265265984994,39369958,-11.454265313233297,1082208
3,2,10,0.9398612952084062,-8.876329366975105,25549416,-8.876329372686167,903292
3,2,6,0.3689095194498254,-2.607482850063536,10175500,-2.607482850115541,202667
85,43,5,4.617498736990042,-213.41181300791254,37666542,-213.41180973939655,7451583
15,8,6,2.9008843990127495,-35.216186477264756,22700292,-35.216186423435566,3360833
7,4,3,0.9712942340093078,-3.7086547733120665,7665042,-3.708654776798518,412208
13,7,9,3.9759730430013462,-28.583374884834278,87405125,-28.58337477231779,1346416
1921,961,4,4.883222984433154,-6480.029686671174,127698750,-6480.029588375117,61984375
5,3,7,2.1307607503400328,-9.875939023613693,48523167,-9.875939025658454,349792
149,75,5,3.11476238720999,-378.3516174495951,25146333,-378.3516147664982,9381334
15,8,8,2.518327279947023,-28.026007742731124,245351125,-28.02600775040781,851250
3,2,7,3.6677034118213143,-10.037521225220212,25001084,-10.037521170548784,258041
87,44,3,3.297713401749432,-173.76813944658784,21687167,-173.76812973269267,2626583
17,9,2,4.396411536151713,-34.98359582016978,3514292,-34.98359576696246,226958
3,2,7,0.6096687039526644,-3.4492878378663225,33011708,-3.449287839014795,157250
7,4,9,1.458391095437836,-10.430101881305347,23952750,-10.430101884504964,1454500
3,2,7,0.20471375604602937,-2.087783403425235,7844417,-2.0877834034295994,157959
5,3,6,0.31060732064878305,-4.929074652320215,7095375,-4.929074652348307,139250
7,4,4,1.5744566870126664,-12.648657879558478,15091875,-12.648657903329356,158083
9,5,4,1.5427525592266689,-5.730153209174151,5081500,-5.730153251060383,169500
3,2,3,0.7263437975708759,-3.2694991854107207,7380625,-3.2694991863085807,168042
3,2,4,0.5698610273853016,-0.1827958890680219,5807625,-0.18279589003660557,78125
3,2,6,2.259314609873084,-7.937013841039445,16420541,-7.937013840566814,172750
7,4,7,1.6552496316693643,-11.86026601003702,19135375,-11.860265958618179,1018458
25,13,6,2.357064650845903,-48.24705179141496,26656791,-48.247051702309896,751917
23,12,8,3.76452561722689,-59.10830165685499,27113667,-59.10830152309098,3403958
153,77,5,3.050482796812476,-353.7506900021697,40659667,-353.7506789237169,10758708
7,4,2,3.6010804567166983,-7.517036462448211,5891542,-7.517036348019849,95250
39,20,4,4.685495746862644,-90.22363658590115,28411708,-90.22363593696593,1114541
3,2,3,0.5332794591893814,-2.2836304703773513,3784042,-2.2836304710224216,65667
5,3,2,2.697365563421524,-6.386518991939856,5744875,-6.386518085475442,104750
3,2,10,2.0435593252522244,-4.840933926466313,22221916,-4.840933926995355,447125
207,104,7,4.966112736088978,-632.6421189906896,128640625,-632.6421176890881,7769333
7,4,8,1.077383178281005,-8.821932040104675,11585417,-8.821932071870275,695917
31,16,4,4.674241513571109,-69.4767223380857,17166875,-69.47672153759838,1317625
11,6,10,4.1167267157982765,-29.74999303165745,32605167,-29.74969530670265,2817292
65,33,5,4.565661752899464,-154.5446439299006,19542542,-154.5446430181672,3436750
17,9,4,2.94514632316593,-31.332701984664993,10342958,-31.332701711531925,752458
5,3,10,1.0175773673911555,-7.696716847158064,18437750,-7.696716855553722,642292
3,2,9,0.9123776572941711,-7.190738014176748,16743959,-7.190738025161595,267125
7,4,2,1.8839218465349183,-8.863861340711098,8562416,-8.863861484960433,229833
33,17,3,4.2257672884384165,-64.59752545796536,16916834,-64.5975243755309,451542
19,10,5,2.8162313165018253,-37.731347397799915,14858625,-37.73134734995675,1153208
45,23,3,4.824299433223156,-105.67880275538243,9150458,-105.67880128119913,558291
733,367,4,4.737698793377832,-2376.4633026086944,53423208,-2376.4632875571006,15429875
45,23,5,3.9305807072224153,-97.59633967554845,23948125,-97.59633869596578,2349834
343,172,8,4.325471785058219,-1184.2847882969309,232243125,-1184.284785069944,28344917
3,2,10,0.2765818503650369,-4.814877707871403,9992334,-4.814877707881342,521625
19,10,3,4.064906934439346,-38.7764764344542,24031333,-38.77647627401528,527375
3,2,3,0.7593337798849281,-2.404527097428025,2786167,-2.404527108253737,94750
