node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
25,13,2,2.7573698030245133,-25.00404977959121,30299916,-25.004049855234243,5435833,false,1,DormandPrince54Integrator,RANDOM
3,2,3,4.656938863241445,-8.73946208412822,3449875,-8.739462141452446,2586666,false,1,DormandPrince54Integrator,RANDOM
3,2,9,3.5575473743516994,-9.529183979485408,4818583,-9.529184440379792,1102667,false,1,DormandPrince54Integrator,RANDOM
9,5,2,1.8327601444436654,-10.860392441675828,704083,-10.860392588899012,1409458,false,1,DormandPrince54Integrator,RANDOM
3,2,5,0.3261797146857759,0.21578288140443802,1527417,0.2157828813219692,329625,false,1,DormandPrince54Integrator,RANDOM
3,2,8,0.6912396242186003,-2.886211070943192,1497333,-2.886211058158414,547042,false,1,DormandPrince54Integrator,RANDOM
3,2,7,1.2614772866698831,-6.127485829306406,1220000,-6.127485842743352,369542,false,1,DormandPrince54Integrator,RANDOM
43,22,4,4.950292566636974,-99.83548074334576,1964542,-99.83548052846461,5153750,false,1,DormandPrince54Integrator,RANDOM
309,155,4,4.572735303895988,-863.8042251372053,9539833,-863.8042446172959,15043875,false,1,DormandPrince54Integrator,RANDOM
155,78,8,3.6688551535430665,-416.274445052536,8191916,-416.2744571643076,16417917,false,1,DormandPrince54Integrator,RANDOM
15,8,3,4.67972577055622,-28.94357815808341,1737292,-28.943578607416285,1189083,false,1,DormandPrince54Integrator,RANDOM
3,2,10,1.9468455662548005,-7.746484393889656,7037542,-7.74648431849738,716291,false,1,DormandPrince54Integrator,RANDOM
3,2,7,3.5359253963007893,-9.391521908088574,2095333,-9.39152185783261,508125,false,1,DormandPrince54Integrator,RANDOM
11,6,3,3.823248940780435,-18.894734758015154,579750,-18.894734970023976,284291,false,1,DormandPrince54Integrator,RANDOM
5697,2849,4,3.817121310641209,-21158.793447282525,18881333,-21158.792915780385,169454667,false,1,DormandPrince54Integrator,RANDOM
3,2,6,1.6463921298981194,-5.999197497891917,766042,-5.999197511456284,474375,false,1,DormandPrince54Integrator,RANDOM
55,28,10,4.368987305236761,-150.55651021488046,3225291,-150.55652234064476,7476250,false,1,DormandPrince54Integrator,RANDOM
51,26,6,4.798421042958116,-121.45558634203294,1702500,-121.45559759688567,1707750,false,1,DormandPrince54Integrator,RANDOM
3,2,10,0.33100825184979865,-3.1959454289630003,1129167,-3.1959454288933387,291541,false,1,DormandPrince54Integrator,RANDOM
19,10,10,2.5257219122297494,-41.05798679016932,1822292,-41.05798676150073,2316583,false,1,DormandPrince54Integrator,RANDOM
3,2,6,0.6926346662387595,-3.715708169991809,471458,-3.7157081700084174,128125,false,1,DormandPrince54Integrator,RANDOM
23,12,2,4.438052276024825,-52.059767815115514,225459,-52.05976769412162,264042,false,1,DormandPrince54Integrator,RANDOM
165,83,9,3.764600298263592,-480.9475272960769,2804917,-480.9475804432741,10665791,false,1,DormandPrince54Integrator,RANDOM
73,37,8,4.4262226661660815,-215.7699495852484,1552709,-215.76996478456596,3944000,false,1,DormandPrince54Integrator,RANDOM
29,15,6,3.3917414087531625,-63.440139945072744,850625,-63.4401407931898,973333,false,1,DormandPrince54Integrator,RANDOM
3,2,7,1.126837066503923,-2.793629435604952,579333,-2.7936294606732512,225583,false,1,DormandPrince54Integrator,RANDOM
47,24,8,2.925601574102834,-117.75594371281065,1221542,-117.75594310910319,2313042,false,1,DormandPrince54Integrator,RANDOM
17,9,10,3.6002543361438013,-47.67360264970996,2025875,-47.67360283186412,2161333,false,1,DormandPrince54Integrator,RANDOM
21,11,5,2.41351614025163,-41.900062925540425,437375,-41.900063459125676,443416,false,1,DormandPrince54Integrator,RANDOM
13,7,10,3.8570913192725618,-35.75722015809093,2056375,-35.75722067640893,1536958,false,1,DormandPrince54Integrator,RANDOM
5,3,7,1.0117042621946004,-4.402876499306239,549125,-4.402876501274754,194625,false,1,DormandPrince54Integrator,RANDOM
11,6,7,3.6565776758788084,-25.812840630945196,982125,-25.81283901545091,647667,false,1,DormandPrince54Integrator,RANDOM
11,6,2,1.9897788141845507,-16.15111327357701,175542,-16.151113589616344,107083,false,1,DormandPrince54Integrator,RANDOM
51,26,10,2.908307686621815,-138.8852060279664,2129750,-138.8851765854654,4558333,false,1,DormandPrince54Integrator,RANDOM
3,2,2,0.7362669312601011,-0.9787331567348581,145750,-0.9787331589304866,50709,false,1,DormandPrince54Integrator,RANDOM
3,2,10,0.9582121916833086,-6.017902421643489,1086334,-6.0179024241302255,364041,false,1,DormandPrince54Integrator,RANDOM
7,4,8,3.1149053598201975,-16.028019392314114,1161625,-16.028018512142015,519958,false,1,DormandPrince54Integrator,RANDOM
3,2,2,0.46566283723364854,0.8336853654315015,127042,0.8336853638811582,52792,false,1,DormandPrince54Integrator,RANDOM
3,2,5,3.497906320626916,-8.443395423590767,515209,-8.443394712137827,150000,false,1,DormandPrince54Integrator,RANDOM
105,53,9,3.62018806855388,-299.3320374542683,2349709,-299.33133678086006,7938583,false,1,DormandPrince54Integrator,RANDOM
