node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
3,2,4,3.2978631161481347,-8.921494377449397,35091250,-8.921494350077525,4082333
17,9,8,3.665931409728901,-28.444591574132335,12102333,-28.444591453202243,5510917
21,11,8,3.2137086631665457,-55.32635572350837,9741333,-55.326355180525894,5832125
3,2,6,2.5116698534750808,-7.501058769430427,4970417,-7.50105877540032,1256208
13,7,4,3.119163898664928,-25.825211032904114,3619125,-25.82521106661214,974875
5,3,4,3.8326838857707193,-12.135182226217143,4708458,-12.135182214502398,538667
163,82,6,3.480235875562602,-388.95217027839817,7745792,-388.95216844128447,10122750
5,3,6,4.7132016411868864,-12.33926150094635,7238667,-12.339261427001967,644000
17,9,7,3.861186244516502,-43.396061600738236,10194083,-43.39606067838072,2350209
5,3,9,1.9317740874400238,-10.218010770760786,11192250,-10.218010817669912,750917
107,54,3,3.1351968099940093,-209.5830098197889,2870292,-209.5829978998164,2584250
3,2,6,4.755107036207853,-12.232104271893547,6288416,-12.232104285252612,485792
43,22,8,3.5562327579744726,-126.80000650497013,8969375,-126.80000777230353,4751458
1089,545,6,5.208483997892822,-3943.6009429001188,11712584,-3943.6008670724846,109667125
53,27,2,4.146834028993116,-111.32708631439003,4538791,-111.3270861882658,3700375
3,2,2,3.126716246364125,-6.877361181653452,2938833,-6.8773609677021685,488125
637,319,3,4.998538960287927,-1855.5777302175861,7471333,-1855.5776945511197,28037959
9,5,8,3.0459492558622028,-21.650688841556214,23738042,-21.65068859099215,3742542
197,99,9,4.296845383364416,-628.2814047910124,22730166,-628.2814194210298,52764250
3,2,7,0.4342860585807689,-0.8506635640256743,3208000,-0.850663564364239,593708
3,2,3,1.445276346951959,-5.23314578887944,1622959,-5.233145786868178,482167
501,251,6,3.987574057979688,-1648.026229712064,6582708,-1648.026228031862,57503750
5,3,6,0.8513143486451319,-5.805487215736152,2390958,-5.805487231256257,213917
9,5,8,2.5862866744764514,-20.66044461216067,5116292,-20.660444570340317,756792
25,13,8,2.355308252888804,-50.03733094351194,4956750,-50.03733133462548,1371875
3,2,8,0.4059703794988369,-1.1305350308577837,5019916,-1.1305350309434954,263750
51,26,3,4.2413844249340125,-122.50802637056589,1524000,-122.5080252796009,769250
5,3,8,0.6853806756575931,-8.919154726640384,3097167,-8.919154722235076,391750
27,14,7,3.6339701295870865,-57.27427174622467,4422208,-57.274270803619444,1233916
7,4,7,0.8469548845156554,-9.408447587342827,2702292,-9.408447588704437,287708
19,10,9,3.5332750932921946,-45.864521649102876,7198958,-45.86452030125988,1624625
1751,876,7,4.733467776359639,-7002.284132949647,11156708,-7002.284086574914,70180125
7,4,5,2.4026795572560413,-12.39635885731846,2273833,-12.396358781706155,229125
