node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
3,2,5,2.875402813483924,-6.270804501107101,30254417,-6.270804473889702,3587500,false,1,DormandPrince54Integrator,IDENTITY
107,54,3,4.45643712832898,-273.5629289494237,4679833,-273.5629283731546,7508500,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.2823017911269693,-2.4883168083589284,2307542,-2.488316808309598,514708,false,1,DormandPrince54Integrator,IDENTITY
219,110,8,4.781482417972156,-692.0742408473799,11371167,-692.0742509908683,23460250,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,2.9734405535252457,-13.573833019687497,2737541,-13.573832922587675,857833,false,1,DormandPrince54Integrator,IDENTITY
31,16,3,3.083915614359901,-65.97396844253572,906125,-65.97396842739272,733417,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,2.8949023537650604,-7.994738580680449,1365708,-7.9947384714607415,383583,false,1,DormandPrince54Integrator,IDENTITY
17,9,3,4.290828305693492,-32.042414755977234,947166,-32.0424138120623,479250,false,1,DormandPrince54Integrator,IDENTITY
11,6,5,2.9954325857966317,-21.455805526510755,1116250,-21.45580548199188,655375,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.8178262584849532,-3.7283564654636074,4347791,-3.728356456721731,712625,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,2.6486730301519508,-4.525064573651731,433083,-4.525065068858879,260292,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,2.052936385713517,-9.079902373712365,2407792,-9.079902400705734,666500,false,1,DormandPrince54Integrator,IDENTITY
5,3,8,2.5069894912586794,-9.167765355944837,1965667,-9.167764671511122,627709,false,1,DormandPrince54Integrator,IDENTITY
7,4,2,1.5333940835271647,-4.899668933085885,394291,-4.899669118848768,169584,false,1,DormandPrince54Integrator,IDENTITY
19,10,3,4.710595531507527,-37.750916103526315,1008417,-37.75091476265284,584125,false,1,DormandPrince54Integrator,IDENTITY
29,15,9,3.038864111556055,-66.82707886234991,3746417,-66.82707908067775,3258459,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,1.9845602229301829,-3.4749221176856797,541334,-3.4749221065388345,140583,false,1,DormandPrince54Integrator,IDENTITY
5,3,4,0.8643066588250731,-7.243849839970878,624125,-7.243849836041302,199834,false,1,DormandPrince54Integrator,IDENTITY
5,3,4,1.6818150632254465,-7.296173580001629,644542,-7.296173900539904,216042,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.39804166111661765,-5.636078365367416,1472125,-5.636078366575347,327125,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,1.0274494253880895,-2.715331872497105,947833,-2.7153318979264323,238208,false,1,DormandPrince54Integrator,IDENTITY
95,48,5,3.076596216311505,-202.64941874955514,3009042,-202.64941376880148,3438250,false,1,DormandPrince54Integrator,IDENTITY
15,8,2,2.5907335926259356,-22.895258075327966,670125,-22.89525761636996,379208,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.6929145241307144,-3.7538086345488466,579000,-3.7538086348835202,140541,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.691711403599856,-5.088109394943704,2735667,-5.088109403770167,699625,false,1,DormandPrince54Integrator,IDENTITY
13,7,5,4.596383417484141,-32.34282579411903,1298125,-32.34282559971696,2368125,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,3.0373070151004598,-8.213817578652666,3428667,-8.213817503067396,1170250,false,1,DormandPrince54Integrator,IDENTITY
143,72,7,4.7777789659841945,-442.2033970113479,6941791,-442.20338476890845,27240250,false,1,DormandPrince54Integrator,IDENTITY
43,22,8,2.034851345973576,-91.69603345076085,4568917,-91.69603440149692,8883875,false,1,DormandPrince54Integrator,IDENTITY
17,9,7,3.3646819606250493,-32.11106726863385,3983083,-32.11106702513407,3537666,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.7668761579955924,0.17932469964645525,499250,0.17932469857027145,268750,false,1,DormandPrince54Integrator,IDENTITY
7,4,3,1.5984710900420673,-7.626835262678021,743833,-7.626835310261229,718875,false,1,DormandPrince54Integrator,IDENTITY
347,174,6,4.067768240246591,-1167.6718330142157,8488750,-1167.671826829146,30786292,false,1,DormandPrince54Integrator,IDENTITY
23,12,2,3.3403746956453184,-28.336591662618154,981042,-28.336591444852914,1284959,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.7278762768028008,-5.828136062285773,1637583,-5.828136068871073,712667,false,1,DormandPrince54Integrator,IDENTITY
121,61,8,3.568309352846497,-369.5957069723207,5155166,-369.59570781546654,19929166,false,1,DormandPrince54Integrator,IDENTITY
5,3,3,4.386440950539942,-12.630629301673013,817291,-12.630629150742246,624958,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,4.00594945882901,-11.020069116686383,4228375,-11.020069345710155,1390000,false,1,DormandPrince54Integrator,IDENTITY
17,9,10,2.5822419090173607,-42.08790673275776,3989708,-42.08790705326103,3108792,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,1.2340901836146456,-3.988411498551215,781083,-3.9884114968219366,629167,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.3912391939823645,-3.2631608089766724,2198709,-3.263160809710324,618667,false,1,DormandPrince54Integrator,IDENTITY
79,40,5,4.6075047812202765,-217.99818098908298,2457709,-217.99818139521224,8985791,false,1,DormandPrince54Integrator,IDENTITY
37,19,9,4.819811679503819,-100.57718795751889,4624667,-100.57720537543862,4963917,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.7730173488606767,-2.921732513745687,783583,-2.9217325138030836,416916,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.15928868755842818,-0.0621647690403514,1707334,-0.06216476904348234,582959,false,1,DormandPrince54Integrator,IDENTITY
5,3,4,0.9741313258039414,-1.9886261639442235,641708,-1.9886262595424888,474625,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.5517164443896205,-4.141597062337249,2316292,-4.141597061439064,619875,false,1,DormandPrince54Integrator,IDENTITY
29,15,7,3.396237435932604,-78.51355113933465,2564625,-78.51355049575034,1505208,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.827306448564355,-0.21171058945563004,314375,-0.21171059953207938,64791,false,1,DormandPrince54Integrator,IDENTITY
45,23,9,2.9443261124770084,-115.35009447678898,3787167,-115.35009458744531,3683125,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.4172314431427224,-6.273075038179231,1950916,-6.273075041278876,525166,false,1,DormandPrince54Integrator,IDENTITY
7,4,8,4.6888033782346845,-20.297085696371745,2361542,-20.297085529823697,695833,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,4.782466241292536,-10.076536261893088,3110292,-10.07653621933614,611792,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,1.0195976983490502,-2.922197041620506,549416,-2.9221970494074108,75625,false,1,DormandPrince54Integrator,IDENTITY
159,80,6,3.784042018979998,-436.5995334106526,5383208,-436.59952685867313,5491834,false,1,DormandPrince54Integrator,IDENTITY
5,3,3,1.7122023859934847,-5.435493780704396,576000,-5.435493806282352,105583,false,1,DormandPrince54Integrator,IDENTITY
13,7,3,2.3965688959042875,-19.39286483926952,662292,-19.392864849997345,441500,false,1,DormandPrince54Integrator,IDENTITY
9,5,3,4.822591695867967,-19.608298089150505,931875,-19.608297961000634,192916,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,1.872137483784898,-4.606289621344446,844667,-4.606289634845336,123459,false,1,DormandPrince54Integrator,IDENTITY
5,3,5,3.29130788388753,-12.677312769165175,1722375,-12.677312439933287,234875,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,1.6654881336626808,-4.578951251888123,1157334,-4.578951587288326,153750,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.07355993768788816,-4.046866403297114,3428084,-4.046866403297107,285583,false,1,DormandPrince54Integrator,IDENTITY
81,41,3,2.944646615612524,-168.28564722747734,1468792,-168.28564489186633,1226584,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,1.2555866381492957,-5.397725708952242,2868417,-5.397725784119217,344542,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,2.399641987079912,-6.19602781579656,7548500,-6.196027765238432,669917,false,1,DormandPrince54Integrator,IDENTITY
119,60,5,3.2798784553901332,-258.42114092326403,3374125,-258.4211382183881,3201667,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,0.31734503509259937,-4.4676175606939275,3392167,-4.467617560698733,394792,false,1,DormandPrince54Integrator,IDENTITY
11,6,9,3.638618619813209,-23.225158769402608,6848917,-23.225159086379186,1208917,false,1,DormandPrince54Integrator,IDENTITY
7,4,10,3.0856634241141903,-13.23498468748523,8169959,-13.234984669155363,1009083,false,1,DormandPrince54Integrator,IDENTITY
185,93,4,3.8291656364003868,-522.2278078562267,3621500,-522.2277999116642,3840208,false,1,DormandPrince54Integrator,IDENTITY
73,37,5,3.984713759303462,-154.88863511929964,2982542,-154.88863429202303,1736042,false,1,DormandPrince54Integrator,IDENTITY
5,3,6,3.7358656039600504,-10.796614189824242,2720750,-10.796614247522221,361042,false,1,DormandPrince54Integrator,IDENTITY
31,16,6,3.2066798297381514,-72.96316232447548,3053208,-72.96316195058701,1129833,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.4194471458084936,-2.934382127194431,1533208,-2.934382127315753,273750,false,1,DormandPrince54Integrator,IDENTITY
9,5,4,3.535800876802633,-20.581933798383897,698333,-20.581933793301786,230042,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,1.706501656338032,-6.327236283146693,835125,-6.327236278964391,176750,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,3.876032590304999,-14.254469553633285,2767084,-14.254469404693715,747541,false,1,DormandPrince54Integrator,IDENTITY
9,5,9,1.5033895413513565,-13.27928133164587,1882458,-13.279281340599368,834542,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.17458707670450435,-0.6194058956517835,266000,-0.6194058956538279,59833,false,1,DormandPrince54Integrator,IDENTITY
111,56,6,4.711668114195386,-300.32794139506063,3571291,-300.32794009783004,4240750,false,1,DormandPrince54Integrator,IDENTITY
5,3,8,0.6419784993516114,-6.327176684918523,1313042,-6.3271766800802265,395375,false,1,DormandPrince54Integrator,IDENTITY
69,35,7,4.128327097995843,-169.24054468432433,3118500,-169.24054522697895,3082500,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.001445217545708033,3.773881229654623,551250,3.7738812296542537,108417,false,1,DormandPrince54Integrator,IDENTITY
13,7,2,2.611237923191875,-19.96901006858286,355750,-19.969010369521406,318208,false,1,DormandPrince54Integrator,IDENTITY
5,3,7,3.70867847242446,-7.941836342274447,1092208,-7.941836273522104,306500,false,1,DormandPrince54Integrator,IDENTITY
9,5,10,1.8301542164168811,-14.853344805245213,1762333,-14.853344752341867,1126916,false,1,DormandPrince54Integrator,IDENTITY
7,4,10,4.026734772930062,-19.04685205763411,2592208,-19.046851531366084,1027208,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,0.5317774597820923,-1.8610214276639412,1026541,-1.861021427884168,382208,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.8849488896063445,-2.094727688329613,452250,-2.094727693093324,112583,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.5216066118089607,-2.3159328070447742,427459,-2.3159328070941254,97542,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.9340372719192142,-2.2961872986873093,356042,-2.2961873061655402,95166,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,2.5856808968242397,-4.186457252543624,287416,-4.1864572621764555,85209,false,1,DormandPrince54Integrator,IDENTITY
11,6,6,3.3383575094998936,-16.449962518599005,961917,-16.449962213698583,449750,false,1,DormandPrince54Integrator,IDENTITY
57,29,3,3.4803823593543104,-104.53100876852089,942375,-104.53100596716767,749125,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.037020992985789536,-0.963107905970129,982833,-0.9631079059701334,253875,false,1,DormandPrince54Integrator,IDENTITY
23,12,7,2.449203202413211,-55.90905773071873,730750,-55.90905841769229,926667,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,1.7832031829688344,-6.066797780656458,984333,-6.066797716503032,343292,false,1,DormandPrince54Integrator,IDENTITY
585,293,5,4.934887995104633,-1796.9389638403054,2035000,-1796.9389383471698,19230917,false,1,DormandPrince54Integrator,IDENTITY
15,8,3,2.7073925107456027,-24.84917934892551,304625,-24.84917908154723,410667,false,1,DormandPrince54Integrator,IDENTITY
15,8,5,3.5095679516375435,-26.96185813581262,613708,-26.961857074282918,602458,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.5069821842234505,-5.38229263212923,1202875,-5.38229262602503,566584,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,1.6056307356457982,-10.415121518793269,801042,-10.415121528611797,325625,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,2.5734020599696428,-5.364045355312426,149208,-5.364045413676122,117000,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.8533357921810447,-3.795742341950632,375125,-3.7957423615810835,140000,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.5525931149096563,-2.49751145851693,1119833,-2.4975114577790327,448459,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.7680125761443796,-1.758410758983978,158458,-1.7584107659218198,66750,false,1,DormandPrince54Integrator,IDENTITY
157,79,2,4.354962725983512,-358.8920030747633,499375,-358.8919975880882,2595334,false,1,DormandPrince54Integrator,IDENTITY
9,5,9,2.0821500296868307,-16.659593593614048,1094250,-16.65959362118205,1233500,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.35905858366603594,-1.9457771528676946,145542,-1.9457771528817647,61708,false,1,DormandPrince54Integrator,IDENTITY
153,77,8,4.3097458712066565,-499.32438546040265,1922708,-499.32438493241114,12053458,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,2.1593751666043985,-7.2294105241704365,1088500,-7.2294104909771555,523958,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,0.34691038574912847,-1.5795329229614468,461250,-1.579532922958243,180792,false,1,DormandPrince54Integrator,IDENTITY
7,4,10,1.4725110830966344,-15.54782942592811,1382667,-15.547829366798563,959708,false,1,DormandPrince54Integrator,IDENTITY
341,171,10,4.403452598413267,-1194.5936179941996,4120709,-1194.5936464872545,69902708,false,1,DormandPrince54Integrator,IDENTITY
57,29,10,4.037484998749084,-161.63267933192685,2515834,-161.6326834725594,7015583,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.24718075085363056,-3.296624468222946,264459,-3.29662446822352,125708,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,4.73696317151406,-11.60464462086393,1747500,-11.604644763989555,769167,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.3504993976962917,-3.6914503485075136,383500,-3.691450348534428,147459,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.8190850790433274,-5.1021398556736255,896750,-5.102139857002797,405042,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,1.1765791391093905,-5.108217649328702,684334,-5.108217668881382,197166,false,1,DormandPrince54Integrator,IDENTITY
97,49,10,3.2178638953214938,-273.5482048907134,2148583,-273.54820617406017,7610125,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,2.513303705775475,-7.417438955217719,664208,-7.41743899913828,216875,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,2.1781536618756547,-5.661102863130131,347542,-5.6611029479719726,130125,false,1,DormandPrince54Integrator,IDENTITY
23,12,9,4.49342917905097,-54.95017731323149,1796250,-54.950176962618634,1595958,false,1,DormandPrince54Integrator,IDENTITY
15,8,2,2.4058126589408895,-20.324772484223438,174792,-20.324772908606036,144042,false,1,DormandPrince54Integrator,IDENTITY
27,14,2,2.671087894678844,-44.211201601848195,177750,-44.21120198115916,269292,false,1,DormandPrince54Integrator,IDENTITY
35,18,7,3.9862116675072032,-86.30542912815642,1180541,-86.30543126951946,1686083,false,1,DormandPrince54Integrator,IDENTITY
17,9,2,4.682470979662654,-37.304627006020525,189917,-37.304627537932696,182166,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,1.8126822613291043,-7.386172511739765,715042,-7.3861724817072965,226334,false,1,DormandPrince54Integrator,IDENTITY
11,6,8,3.5327507738013604,-26.05203014057926,1070625,-26.05202994011559,647375,false,1,DormandPrince54Integrator,IDENTITY
5,3,3,1.7095892109204365,-7.461768505684451,164958,-7.461768499022033,69542,false,1,DormandPrince54Integrator,IDENTITY
15,8,8,4.649967900936263,-41.58216832861209,1225292,-41.58217095917495,1209917,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,0.9783794394236572,-3.6137862994092735,501917,-3.6137863028876906,140500,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.28833240661351456,-6.596963295761427,192542,-6.596963295881768,61125,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,1.384730444520904,-4.943700202934739,112125,-4.943700282555244,44958,false,1,DormandPrince54Integrator,IDENTITY
7,4,5,2.3463026936921167,-14.232318290293886,365958,-14.23231848043704,209500,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,0.8913697955431554,-3.9227436291181643,385125,-3.9227436327296883,127791,false,1,DormandPrince54Integrator,IDENTITY
13,7,5,2.9801948014522788,-26.878338096093998,375250,-26.87833809611978,310291,false,1,DormandPrince54Integrator,IDENTITY
67,34,7,3.8506072160171168,-197.49274935039037,1145375,-197.49274181441547,2794542,false,1,DormandPrince54Integrator,IDENTITY
9,5,6,1.3600652404692197,-7.277937236363433,442875,-7.277937418141521,270833,false,1,DormandPrince54Integrator,IDENTITY
5,3,3,2.4947147929209,-7.344327094048084,183875,-7.3443271119828335,99000,false,1,DormandPrince54Integrator,IDENTITY
73,37,9,3.8201157710255433,-197.6837596348568,1924167,-197.68375783818158,4760500,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.7986546409572259,-1.3093111367120212,115834,-1.3093111367767616,49584,false,1,DormandPrince54Integrator,IDENTITY
859,430,10,4.434915631827765,-3057.539203723796,6733375,-3057.5392498994697,69372625,false,1,DormandPrince54Integrator,IDENTITY
129,65,5,3.3620456888525005,-330.5292671797863,834458,-330.52926046171734,2567250,false,1,DormandPrince54Integrator,IDENTITY
7,4,8,4.250106645090836,-18.071834026092095,1231583,-18.07183416246361,510375,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,1.103007490500919,-5.734317283813299,530000,-5.734317292892573,145625,false,1,DormandPrince54Integrator,IDENTITY
61,31,3,2.206194103713176,-106.01578688050347,266459,-106.0157866619618,652250,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.3877372252938527,-4.126017469179088,619000,-4.126017469188212,160709,false,1,DormandPrince54Integrator,IDENTITY
15,8,6,3.122973981302946,-31.00553091510188,577958,-31.005530544638,513291,false,1,DormandPrince54Integrator,IDENTITY
11,6,10,4.201990215258645,-29.974044465346882,1889250,-29.974046459192255,1240541,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.092853835283499,-0.9404045827732811,264208,-0.9404045827732576,69334,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.8421890486523231,-3.202176938741382,210459,-3.202176985209873,71458,false,1,DormandPrince54Integrator,IDENTITY
11,6,5,2.6784112232538804,-24.420403448423425,359291,-24.42040340335825,279791,false,1,DormandPrince54Integrator,IDENTITY
15,8,6,4.889207404076345,-32.29972989815927,766375,-32.299730068882624,492750,false,1,DormandPrince54Integrator,IDENTITY
101,51,7,4.805466664710062,-278.86451740688887,1335541,-278.86451799495944,4613042,false,1,DormandPrince54Integrator,IDENTITY
11,6,3,3.0648851071836107,-21.93422505162234,227583,-21.934224748256234,156500,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,3.856347559737607,-9.844593498642801,966208,-9.844593484005753,283208,false,1,DormandPrince54Integrator,IDENTITY
41,21,7,4.093053601224287,-108.71215047218135,1139500,-108.71214820693709,1737083,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.6725081282481232,-8.666020930490642,789625,-8.666020936271382,231792,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,0.5691608670202108,-5.401284895034833,794292,-5.401284893564055,235083,false,1,DormandPrince54Integrator,IDENTITY
7,4,7,2.332467158123605,-11.88738796996692,692042,-11.887388080524197,394833,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.36400943279136955,-2.687039778939086,614542,-2.6870397789843268,146750,false,1,DormandPrince54Integrator,IDENTITY
59,30,5,4.93998855745036,-146.24677501256133,668166,-146.24677125413348,1424667,false,1,DormandPrince54Integrator,IDENTITY
71,36,7,3.333127130331426,-168.3953735244109,1013375,-168.39536957054867,2608042,false,1,DormandPrince54Integrator,IDENTITY
37,19,3,2.7899998728776847,-59.655824372597266,272750,-59.655824318460496,403125,false,1,DormandPrince54Integrator,IDENTITY
591,296,2,4.3218160016309355,-1589.5583322054486,1063375,-1589.55831809983,4472833,false,1,DormandPrince54Integrator,IDENTITY
5,3,4,1.7633066671958546,-7.8125612778726605,231917,-7.8125612950420305,114667,false,1,DormandPrince54Integrator,IDENTITY
23,12,8,4.352171079866054,-61.49292093169893,1285833,-61.492920190377234,1442500,false,1,DormandPrince54Integrator,IDENTITY
61,31,9,3.1180399534632453,-162.65427557112457,1651125,-162.6542765137579,4425708,false,1,DormandPrince54Integrator,IDENTITY
39,20,10,4.481560859642918,-92.57684871439145,2224917,-92.57686463418172,3518666,false,1,DormandPrince54Integrator,IDENTITY
37,19,2,3.302650989175382,-64.94465547333905,284292,-64.94465486017596,289583,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,1.6918233008493566,-2.6917319028004805,166292,-2.691731906019668,54541,false,1,DormandPrince54Integrator,IDENTITY
195,98,4,4.409635298257495,-570.6898542411466,936209,-570.6898585517092,3005416,false,1,DormandPrince54Integrator,IDENTITY
111,56,4,4.978538017290105,-282.2043156863243,710750,-282.2043175950587,1544208,false,1,DormandPrince54Integrator,IDENTITY
7,4,4,0.9002613632595435,-7.959987646448727,225958,-7.959987650041531,106000,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,0.37053914762808504,-2.803307423264023,497625,-2.8033074230880457,135750,false,1,DormandPrince54Integrator,IDENTITY
9,5,5,3.428781904213278,-19.52751235291765,404666,-19.52751253294045,228917,false,1,DormandPrince54Integrator,IDENTITY
17,9,7,4.5212741515508235,-47.15743852688779,1353500,-47.157438309107434,935709,false,1,DormandPrince54Integrator,IDENTITY
11,6,4,2.3789926328646525,-17.25583149382525,299708,-17.2558315734271,198000,false,1,DormandPrince54Integrator,IDENTITY
285,143,7,4.668620604980123,-969.1268994841344,1939708,-969.1269006985999,11125208,false,1,DormandPrince54Integrator,IDENTITY
7,4,9,3.0276259876375278,-19.35866871616889,1398625,-19.358668735593803,786333,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,1.1027983528960013,-5.697516692150312,291292,-5.697516697938869,81625,false,1,DormandPrince54Integrator,IDENTITY
15,8,10,2.295401869394636,-31.040917609493416,1457250,-31.040917505840426,1509791,false,1,DormandPrince54Integrator,IDENTITY
9,5,7,3.97341818305373,-21.946174125257002,3846750,-21.94617415362094,448833,false,1,DormandPrince54Integrator,IDENTITY
35,18,3,3.915043451190268,-81.20974121232612,314667,-81.20974065512081,415375,false,1,DormandPrince54Integrator,IDENTITY
5,3,4,1.6235912739102676,-6.469967155267357,240542,-6.46996715771447,106750,false,1,DormandPrince54Integrator,IDENTITY
31,16,9,2.561568921940634,-69.42471653900421,1313708,-69.42471725013934,1985291,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,0.08557571402198261,-1.1921501941799568,362958,-1.192150194179951,96958,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,0.9644209489082356,-5.973484480262243,813000,-5.9734844785423284,343792,false,1,DormandPrince54Integrator,IDENTITY
865,433,10,4.8521301928643705,-3304.2345031311775,7658625,-3304.2345159917413,71512375,false,1,DormandPrince54Integrator,IDENTITY
185,93,3,4.683811109260771,-455.7301960678162,794125,-455.7301922429331,1745166,false,1,DormandPrince54Integrator,IDENTITY
61,31,5,3.557363413439983,-155.08877993034912,627042,-155.0887787502812,1308833,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,0.12197322898149676,-2.2270860966548347,376459,-2.2270860966548947,93166,false,1,DormandPrince54Integrator,IDENTITY
9,5,10,1.4718309221670112,-9.616753738207693,1130292,-9.616753698998798,719083,false,1,DormandPrince54Integrator,IDENTITY
57,29,10,2.4306418087430486,-142.11663620917727,1822333,-142.1166377239819,5365125,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,1.6666374844364418,-3.8769166594347007,161250,-3.8769168495831794,72416,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,2.1471902753333345,-9.62753723595851,1086208,-9.627537179595006,475417,false,1,DormandPrince54Integrator,IDENTITY
5,3,3,1.3628204294069102,-3.9759631144496828,160375,-3.9759631445720194,74125,false,1,DormandPrince54Integrator,IDENTITY
11,6,9,1.937609957617159,-19.650674620471218,1076625,-19.650674599483935,824792,false,1,DormandPrince54Integrator,IDENTITY
7,4,2,4.238175943785162,-12.497552109015064,157250,-12.497552414309716,98916,false,1,DormandPrince54Integrator,IDENTITY
3,2,3,0.05080798969257061,-2.2672466198497827,166042,-2.267246619849791,78875,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,1.9005347847504344,-5.1115502618727255,421875,-5.1115503133949005,166084,false,1,DormandPrince54Integrator,IDENTITY
21,11,9,2.5992971509818963,-42.65793731796513,1445167,-42.6579371719628,1371708,false,1,DormandPrince54Integrator,IDENTITY
