node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType,rel_tolerance
21,11,10,3.3637275444999664,-50.9155078500299,34739792,-50.91554574974219,13500625,false,1,DormandPrince54Integrator,RANDOM,9.54995048702314E-7
97,49,5,3.713448072871442,-248.76666734988152,3671875,-248.76666763531853,13160875,false,1,DormandPrince54Integrator,RANDOM,1.5894525832230502E-8
3,2,6,2.651177731860722,-6.4780746788869426,1037833,-6.478074758733081,711083,false,1,DormandPrince54Integrator,RANDOM,2.1797340001886645E-6
147,74,7,4.58943209179435,-449.21291011446203,4190333,-449.2125026875058,14544666,false,1,DormandPrince54Integrator,RANDOM,7.006535323496549E-6
23,12,7,2.0061824105979835,-37.52808186277706,2447542,-37.528089203629946,4482750,false,1,DormandPrince54Integrator,RANDOM,1.3360183917894293E-6
29,15,3,3.479479567842989,-62.318556836199704,2337084,-62.31855678263871,946416,false,1,DormandPrince54Integrator,RANDOM,1.0186399064462815E-9
3,2,7,1.6388105929256018,-4.434422842414673,1433125,-4.434422876731082,341875,false,1,DormandPrince54Integrator,RANDOM,6.68416700499342E-6
3,2,7,1.735401329960523,-6.799862766593355,1362500,-6.799862826368496,298708,false,1,DormandPrince54Integrator,RANDOM,3.0565809621215372E-6
3,2,6,0.397873479408844,-1.2696044770836261,1534584,-1.2696044771776027,746333,false,1,DormandPrince54Integrator,RANDOM,1.2679736190351536E-7
151,76,3,2.6329349991595743,-360.7573483717715,1350875,-360.75733677745,8919792,false,1,DormandPrince54Integrator,RANDOM,3.3580893682338796E-7
3,2,5,3.499065069331033,-9.376081098519807,775958,-9.376081101504536,767458,false,1,DormandPrince54Integrator,RANDOM,1.1291729542872742E-7
3,2,9,1.9064775170335202,-6.847056731029745,2870250,-6.847056722764458,1553541,false,1,DormandPrince54Integrator,RANDOM,1.2115097902209674E-9
23,12,7,3.157364790557129,-48.35135567928049,1088250,-48.35136196553705,3808000,false,1,DormandPrince54Integrator,RANDOM,1.1285792298944827E-7
3,2,9,3.3123597779785308,-9.666979667551239,1641375,-9.666979672383167,2428666,false,1,DormandPrince54Integrator,RANDOM,4.618268384213068E-8
3,2,2,1.1254527349675274,-0.48042440180900814,423959,-0.48042441988186335,243083,false,1,DormandPrince54Integrator,RANDOM,1.572031097061776E-9
85,43,4,4.738982899916691,-190.67533645430194,2715500,-190.67533673462734,7245583,false,1,DormandPrince54Integrator,RANDOM,2.410345861285746E-9
3,2,6,0.289916270308031,-2.468615286576922,671333,-2.4686152865805235,1802000,false,1,DormandPrince54Integrator,RANDOM,2.8190312978296E-8
