node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType
7,4,9,2.50167169070812,-6.1799295614151255,38000167,-11.382268212153937,7914625,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.6200007464218144,-2.3771046779804164,988584,-1.9533935804598186,340375,false,1,DormandPrince54Integrator,IDENTITY
7,4,10,2.677315940393177,NaN,6043708,-18.869813883071362,4320542,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,0.23989128201889143,0.48960431883531896,844500,0.7333276437330871,286583,false,1,DormandPrince54Integrator,IDENTITY
27,14,7,3.4053862284883123,NaN,3082125,-63.035554344265876,3586125,false,1,DormandPrince54Integrator,IDENTITY
5,3,7,1.6048537146297819,-2.2744038389085697,2071042,-3.0397065678894144,668166,false,1,DormandPrince54Integrator,IDENTITY
7,4,7,2.8246642111500275,NaN,2428625,-18.8096740927303,1284542,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,1.2206502260450374,-3.6005191777017864,1845959,-4.548439044701881,761833,false,1,DormandPrince54Integrator,IDENTITY
21,11,4,4.093159689936203,NaN,1559833,-44.81322283708738,2330500,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,0.6720330213445835,NaN,2166375,-5.149595201717608,298042,false,1,DormandPrince54Integrator,IDENTITY
3,2,4,3.0975671093629704,-2.5250825090931555,726416,-5.625829481564077,255667,false,1,DormandPrince54Integrator,IDENTITY
55,28,8,4.808034825414508,NaN,4025542,-150.7658024991335,13139167,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,0.7010085449852183,NaN,901542,-3.8410323902362613,511083,false,1,DormandPrince54Integrator,IDENTITY
105,53,9,3.791298026896695,NaN,2694708,-290.1994773710293,14705917,false,1,DormandPrince54Integrator,IDENTITY
23,12,6,3.2387652749329994,NaN,1078125,-51.8945124788315,1457375,false,1,DormandPrince54Integrator,IDENTITY
87,44,10,4.988443153780324,NaN,3447041,-246.98126578746758,14591375,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.6679639034091206,NaN,1339125,-7.138689461032601,523666,false,1,DormandPrince54Integrator,IDENTITY
5,3,6,4.506692696989401,NaN,1413291,-12.532117391296183,559208,false,1,DormandPrince54Integrator,IDENTITY
59,30,6,2.8670794583660424,NaN,995625,-155.63883504987405,4315458,false,1,DormandPrince54Integrator,IDENTITY
19,10,4,4.353339159443726,NaN,821291,-40.77034595994296,817625,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,4.5189705766535875,-3.182895738582915,628917,-7.506508261463916,127916,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.13442084565054302,-2.4061061899210907,5518916,-2.60714213716627,446375,false,1,DormandPrince54Integrator,IDENTITY
7,4,7,3.1718471015871676,NaN,3147792,-16.281721652402315,1039208,false,1,DormandPrince54Integrator,IDENTITY
11,6,3,2.662693465648749,NaN,664500,-15.900440437106672,740083,false,1,DormandPrince54Integrator,IDENTITY
5,3,2,3.2725980896982336,-3.732178552741165,705083,-7.574073114013748,514334,false,1,DormandPrince54Integrator,IDENTITY
117,59,6,4.773974296937957,NaN,5864500,-337.93825910329235,20974709,false,1,DormandPrince54Integrator,IDENTITY
19,10,4,2.473283049376538,NaN,853041,-32.102079054199294,2053958,false,1,DormandPrince54Integrator,IDENTITY
9,5,4,3.054469265039917,NaN,1465542,-15.801894072761222,1808459,false,1,DormandPrince54Integrator,IDENTITY
5,3,6,2.990420963729865,-6.327043410724819,3548958,-11.829273444704736,1262500,false,1,DormandPrince54Integrator,IDENTITY
51,26,5,4.290365109722913,NaN,844167,-114.47320835815123,5497250,false,1,DormandPrince54Integrator,IDENTITY
49,25,7,4.316711752968726,NaN,1764750,-122.12876607521862,7944250,false,1,DormandPrince54Integrator,IDENTITY
3,2,9,1.2906938324439161,NaN,1459083,-5.7340022921863,1578959,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,4.961729921110259,-1.7870730849153538,554959,-8.087613413278213,510583,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.2150595122261887,NaN,2209542,-5.3329365542853076,2089750,false,1,DormandPrince54Integrator,IDENTITY
7,4,5,3.5482021154252803,-10.442256003333396,727333,-13.525200290445566,931583,false,1,DormandPrince54Integrator,IDENTITY
137,69,10,4.789259097637899,NaN,4575000,-450.2092681922341,28462042,false,1,DormandPrince54Integrator,IDENTITY
5,3,6,1.2694413674767842,NaN,661708,-5.920366977252421,669750,false,1,DormandPrince54Integrator,IDENTITY
7,4,8,2.0204262109895414,NaN,1019667,-13.089958668172088,798541,false,1,DormandPrince54Integrator,IDENTITY
239,120,7,4.364678830221912,NaN,1571208,-726.3641865226239,19064791,false,1,DormandPrince54Integrator,IDENTITY
133,67,2,4.209847907080318,NaN,443458,-261.87283644148755,4344584,false,1,DormandPrince54Integrator,IDENTITY
9,5,2,4.703843434120236,NaN,293625,-18.02433402363141,489167,false,1,DormandPrince54Integrator,IDENTITY
13559,6780,4,4.860787388154524,NaN,6862333,-60192.14862831279,191246875,false,1,DormandPrince54Integrator,IDENTITY
19,10,6,2.37604691798663,NaN,783916,-40.93658372672307,635500,false,1,DormandPrince54Integrator,IDENTITY
69,35,2,3.3086391975383918,NaN,259375,-130.55286985704439,587542,false,1,DormandPrince54Integrator,IDENTITY
37,19,2,3.2546561499700872,NaN,192125,-71.04745723750068,322958,false,1,DormandPrince54Integrator,IDENTITY
3,2,2,0.11496840887678661,0.2911724260867713,123416,0.37395766455172874,48875,false,1,DormandPrince54Integrator,IDENTITY
321,161,9,3.8114777886664575,NaN,1815917,-1071.9819814656296,21675542,false,1,DormandPrince54Integrator,IDENTITY
7,4,3,1.930415108246328,-3.424325608232844,235417,-9.466917023235826,126958,false,1,DormandPrince54Integrator,IDENTITY
5,3,6,1.463870726376092,NaN,467875,-8.781604636372371,181084,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,1.4199754329386283,NaN,1123916,-4.6188814781237895,431167,false,1,DormandPrince54Integrator,IDENTITY
3,2,6,2.3682490121981914,NaN,488292,-6.546802734163528,172000,false,1,DormandPrince54Integrator,IDENTITY
5,3,5,1.9666442573463945,-4.503444039336698,330708,-10.162528095304621,195750,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,3.0917416062497267,NaN,374500,-8.76813981030005,119709,false,1,DormandPrince54Integrator,IDENTITY
1459,730,6,4.735582328466792,NaN,1383875,-4846.0452259937865,37960500,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.18560199820480017,-3.1236122351869624,662709,-2.8945420704321765,160750,false,1,DormandPrince54Integrator,IDENTITY
453,227,4,4.373056401661525,NaN,541750,-1414.0874930042128,6277333,false,1,DormandPrince54Integrator,IDENTITY
5,3,7,0.6495754406836524,-1.8991940952959712,543417,-1.3598724957811237,250291,false,1,DormandPrince54Integrator,IDENTITY
21,11,5,4.059131475526754,NaN,494000,-42.65583181586712,537417,false,1,DormandPrince54Integrator,IDENTITY
3,2,5,0.5921430400234889,-0.6218871210817319,306334,-1.5404789636874008,94250,false,1,DormandPrince54Integrator,IDENTITY
39,20,5,3.022741373693176,NaN,426625,-71.69616778650237,796541,false,1,DormandPrince54Integrator,IDENTITY
17,9,8,2.287506015120279,NaN,889125,-26.51163704149621,896959,false,1,DormandPrince54Integrator,IDENTITY
3,2,7,1.846994276430007,NaN,602750,-4.99853368441522,205708,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.35469109893394635,-1.3119261618892752,656291,-1.9972354921346316,186500,false,1,DormandPrince54Integrator,IDENTITY
5201,2601,4,4.9832666515215704,NaN,1734042,-22355.65812190901,70412583,false,1,DormandPrince54Integrator,IDENTITY
5,3,9,0.9048957366551486,-6.113331885838858,885959,-6.352096952972901,336500,false,1,DormandPrince54Integrator,IDENTITY
3,2,8,0.7294022903029374,-3.3963859004319312,650917,-3.1352614684859246,181458,false,1,DormandPrince54Integrator,IDENTITY
3,2,10,0.16486520586650177,0.09178748579486806,938000,0.03353164956559351,298208,false,1,DormandPrince54Integrator,IDENTITY
