node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
5,3,3,0.6154596308796436,-3.8415431810119265,33991792,-3.8415431892163303,2710667
3,2,9,0.3274761299796594,-2.4734155255142705,28438750,-2.473415525534897,1611291
5,3,6,4.523834136489679,-7.856191515859239,28076500,-7.856191644962092,2087375
5,3,8,1.7163811169525396,-5.678962930352938,11819333,-5.67896296563019,1286000
17,9,4,2.3844257598582024,-23.31798343466474,8412250,-23.317983167190278,2821250
3,2,8,3.0530579669201,-8.332883960335513,11488333,-8.332884055006135,771125
3,2,6,1.0607536128445139,-4.8271114153487265,4256125,-4.827111417997603,291208
25,13,5,4.089575329698845,-53.206642530791825,4240000,-53.206642905378,1621583
21,11,10,1.77356036581926,-36.752417285018225,18317958,-36.75241772896226,4952208
45,23,10,2.874341573622041,-125.55544736477484,12888708,-125.55544575746276,11299375
3,2,3,0.2167450338689763,-1.4922071884105614,2692417,-1.4922071884129133,355667
51,26,2,3.600236776314927,-95.11056952409606,2563417,-95.11057023406357,2720500
3,2,4,0.5646372891442408,-2.498708992611633,3752250,-2.4987089926112045,347583
433,217,3,4.36184772226127,-1156.735038837843,3291041,-1156.7349997314884,18936250
51,26,6,2.2625714868012405,-100.75076319163159,3531250,-100.75075952014055,6318667
241,121,3,5.038191743538898,-671.8212129457947,2168166,-671.8212479328415,9628375
3,2,10,0.21741241751436846,-6.191664282143032,4694458,-6.191664282162395,630291
3,2,5,2.5528349746595995,-7.486768769056159,3567458,-7.4867687639032425,530334
75,38,9,4.399816032622475,-232.89628756229598,10157958,-232.90248819890348,10503250
41,21,7,4.850843279071917,-100.8743356219373,5344000,-100.87433667949131,4455416
5,3,4,1.7036847096689125,-7.619180996869497,1274083,-7.619181032652708,385834
3,2,7,0.5501522248487356,-1.1186174388332875,2710417,-1.1186174384884886,379333
3,2,2,0.5429647111147655,-0.826647842435883,590500,-0.8266478424012862,200291
91,46,6,5.231036218983794,-276.5102753560545,4049542,-276.5102793254468,7700709
3,2,6,0.920555593330845,-4.93072580134697,2102958,-4.930725925145618,523667
143,72,8,4.365702662314705,-432.73759095547854,7020583,-432.73751077913795,12514375
