node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType,rel_tolerance
17,9,9,4.10417023822297,-42.86937546196859,41050917,-42.869412014320815,12692291,false,1,DormandPrince54Integrator,RANDOM,7.465155933748089E-7
49,25,2,4.421579655464301,-97.88025191326516,1613084,-97.88030609158854,2423375,false,1,DormandPrince54Integrator,RANDOM,3.5388489556833876E-6
55,28,2,4.9027781458840245,-122.75568632011597,1860250,-122.75568592723751,2180667,false,1,DormandPrince54Integrator,RANDOM,3.3418944618436838E-9
11,6,10,4.25014943934343,-33.63278156698835,3705833,-33.63278453502588,2523000,false,1,DormandPrince54Integrator,RANDOM,1.1766753396000878E-7
3,2,3,0.5388673458642446,-2.321813323009428,405667,-2.3218133240612295,174917,false,1,DormandPrince54Integrator,RANDOM,1.7983268561864E-6
175,88,7,4.178771595647424,-506.67778813843927,6185333,-506.67726457395304,27171833,false,1,DormandPrince54Integrator,RANDOM,7.96968332883957E-6
3,2,8,2.5403776692213187,-7.257220745982634,3573334,-7.257220699528455,1105708,false,1,DormandPrince54Integrator,RANDOM,2.957082713832779E-8
9,5,4,1.7620849395997673,-12.020437768214451,478833,-12.020437868920892,478416,false,1,DormandPrince54Integrator,RANDOM,3.9281065886909354E-7
3,2,5,0.09067700813186974,-0.014735265192230784,1495291,-0.014735265192278746,289916,false,1,DormandPrince54Integrator,RANDOM,6.798199954848802E-9
3,2,5,0.5011964140393227,-3.3866695959596624,740375,-3.386669596271869,187125,false,1,DormandPrince54Integrator,RANDOM,4.570475614560724E-6
15,8,2,1.7302910108343266,-18.05172891073755,441167,-18.051728686065186,281250,false,1,DormandPrince54Integrator,RANDOM,7.902452748973388E-6
3,2,10,0.5848853092582668,-4.445692597410917,3029167,-4.445692597628418,388208,false,1,DormandPrince54Integrator,RANDOM,1.1957983187776165E-7
7,4,7,1.5346680046198276,-9.269049555098853,1747292,-9.269049593269273,440375,false,1,DormandPrince54Integrator,RANDOM,8.51358141514818E-9
33,17,7,4.940011953917595,-81.22855798096863,3039625,-81.22856213426688,2145166,false,1,DormandPrince54Integrator,RANDOM,2.2506583150007775E-7
75,38,6,2.895424348851911,-147.68009874466995,1770417,-147.680101488185,3539167,false,1,DormandPrince54Integrator,RANDOM,6.400930339361203E-7
31,16,10,2.527102081493613,-67.10828457377075,1831791,-67.10828500631726,3938667,false,1,DormandPrince54Integrator,RANDOM,9.081454785597643E-8
5,3,5,1.7294469406092845,-5.2253836899907125,477625,-5.225383704108515,543417,false,1,DormandPrince54Integrator,RANDOM,3.20748186424881E-8
7,4,10,2.0258077666422825,-11.306026373762617,1460958,-11.306026717622817,1034667,false,1,DormandPrince54Integrator,RANDOM,1.391950163161459E-7
5,3,9,3.095070059407408,-11.168270477199236,2232292,-11.168270496980552,791250,false,1,DormandPrince54Integrator,RANDOM,7.05552973587714E-9
3,2,5,1.384770944508733,-6.277717142043457,397542,-6.277717144376169,178084,false,1,DormandPrince54Integrator,RANDOM,1.0977096532455869E-7
3,2,6,2.3464954702250913,-7.970568729070205,462709,-7.970568858258749,226084,false,1,DormandPrince54Integrator,RANDOM,9.48845936037361E-6
3,2,8,3.093826614928694,-12.477592765434975,1340541,-12.477592740297514,440625,false,1,DormandPrince54Integrator,RANDOM,2.573460850705071E-8
5,3,9,1.6661196559190505,-8.685491998080167,1109084,-8.685491998221961,465375,false,1,DormandPrince54Integrator,RANDOM,1.3345707566025547E-8
7,4,5,2.047902762998794,-12.052648176270413,397084,-12.052649647826964,270542,false,1,DormandPrince54Integrator,RANDOM,3.0841144349108788E-6
29,15,9,2.900826030342314,-62.176915360636,1470750,-62.17689345377762,2821625,false,1,DormandPrince54Integrator,RANDOM,2.495483625993377E-6
